age,bmi,bmi_status,can_cook,allergies,Ingredients1,Ingredients2,Ingredients3,label,gemma_prompt,recommendation_reason
14,22.8,Normal,1,"Tomato, Beef",,,,Soy-marinated Chinese-style Tilapia With Fresh Ginger And Scall,"[INTERNAL REASONING LOGIC]

This child is 14 years old and has a BMI of 22.8, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Tomato, Beef, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Soy-marinated Chinese-style Tilapia With Fresh Ginger And Scall.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, youre 14 and your body is doing great! Your BMI is perfectly healthy, so youre in the green zone. That means youre in a wonderful place, and this delicious food will help keep you feeling energized and happy. Now, lets talk about the recipe that our machine learning model came up with. Its a special blend of soy and fresh ginger, just like the beautiful colors of the Chinese sky. Its so easy to cook, so you can show off your cooking skills! So, grab your ingredients and get ready to embark on a culinary adventure. Imagine the fresh ginger and the soy mingling like magic inside a delicious fish. Its a flavor explosion."
10,23.0,Normal,1,"Sulfurous acid, Buckwheat",,,,Miso-Glazed Sea Bass with Asparagus,"[INTERNAL REASONING LOGIC]

This child is 10 years old and has a BMI of 23.0, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Sulfurous acid, Buckwheat, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Miso-Glazed Sea Bass with Asparagus.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 10 years old, and you have the coolest food recommendation ever! Its delicious and healthy, just like you! Lets call this magical food Miso-Glazed Sea Bass with Asparagus. Its like a mix of the best worlds, just like you and your friends imaginations! The miso sauce makes the fish so yummy and shiny, while the asparagus adds a bit of crunch and flavor. Its like a party for your taste buds! So, grab yourself a fork and try this magical food on your plate. Take a bite and let the flavors dance on your tongue. Feel the happy tummy rumble with yummy energy! Remember, its."
11,17.0,Normal,0,"Peanut, Tomato",Lemon,Garlic,,Baked Garlic Lemon Tilapia,"[INTERNAL REASONING LOGIC]

This child is 11 years old and has a BMI of 17.0, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Peanut, Tomato, which was excluded from the recommendation.

They have ingredients like Lemon, Garlic available at home.

Based on these factors, the machine learning model recommended: Baked Garlic Lemon Tilapia.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre just the right age for some delicious new food, and Im here to help you discover a yummy dish thats perfect for 11-year-olds. Lets call this dish Baked Garlic Lemon Tilapia. Its so yummy and simple, and it comes with some special bonus ingredients like Lemon and Garlic. Imagine this: a juicy tilapia fish thats been baked to golden perfection, and then topped with a delicious lemon and garlic sauce. Its like a party on your plate! So, lets give it a try, shall we? Eating should be fun, and this dish is sure to bring a smile to your face and a happy."
6,15.9,Normal,1,,Fish,,,Crispy Baked Fish,"[INTERNAL REASONING LOGIC]

This child is 6 years old and has a BMI of 15.9, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like Fish available at home.

Based on these factors, the machine learning model recommended: Crispy Baked Fish.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 6 years old, and you have a super yummy food recommendation just for you! 🐟 I know you can cook, so I hope youll give this one a try. Its called Crispy Baked Fish, and its super simple to make! The ingredients are pretty amazing, too! Theyre like the stars of the sea, just like the beautiful fish you love. This food is like a hug for your taste buds, just like the ocean breeze on a warm day! Its a delicious treat that will make you feel super happy and energized. So, grab your ingredients and get ready to make some magic with fish! Its time to discover the wonders."
9,21.2,Normal,0,Buckwheat,,,,Sole with Tarragon-Butter Sauce,"[INTERNAL REASONING LOGIC]

This child is 9 years old and has a BMI of 21.2, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to Buckwheat, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Sole with Tarragon-Butter Sauce.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! 🌿 Are you ready to enjoy a special meal? Imagine a plate of fluffy, golden bread thats been dipped in a creamy tarragon-butter sauce. The tarragon adds a magical touch, and the butter makes it melt in your mouth. This food is so simple and easy to make, even though you cant cook it yourself! Your grown-up can help you prepare it, and it only takes a few minutes to whip up. So, sit down and enjoy this delicious meal, and let your taste buds dance with the tarragon and butter sauce! Its sure to be a treat youll never forget!."
11,20.0,Normal,1,,,,,Herbed Striped Bass,"[INTERNAL REASONING LOGIC]

This child is 11 years old and has a BMI of 20.0, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Herbed Striped Bass.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 11 years old, and youre as special as a snowflake on a sunny day! Your body is already as healthy as a garden in bloom, so all you need is some yummy food to keep you happy and energized. I heard that youre allergic-free, so I found a special dish thats perfect for you. Its called Herbed Striped Bass, and its so yummy and simple to make. You can even cook it yourself if you want, so you can enjoy it just like a superhero! This dish is like a magic potion for your taste buds. The herbed vegetables make it taste like a delicious adventure, and the bass is so tender and."
12,23.0,Normal,1,"Squid, Peach",Fish,,,Gulf Fish en Papillote,"[INTERNAL REASONING LOGIC]

This child is 12 years old and has a BMI of 23.0, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Squid, Peach, which was excluded from the recommendation.

They have ingredients like Fish available at home.

Based on these factors, the machine learning model recommended: Gulf Fish en Papillote.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Lets dive into the world of delicious food together! What a great way to fuel your body with a healthy snack! Your body is like a fascinating machine that needs the right ingredients to run smoothly. Just like you, this Gulf Fish is a treasure waiting to be discovered! Its so full of flavor and perfectly suited for your taste buds. Remember, you can cook this fish up all by yourself, just like you can whip up a delicious meal! Its a fun and rewarding experience that will leave you feeling happy and satisfied. So, grab some of this Gulf Fish and give it a try! Its a magical food that will make you feel like a superhero ready to conquer the."
10,20.2,Normal,1,Milk,,,,Catalan Roasted Sea Bass,"[INTERNAL REASONING LOGIC]

This child is 10 years old and has a BMI of 20.2, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Milk, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Catalan Roasted Sea Bass.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there, youre 10 years old, and you have a super cool body thats perfectly healthy! Think of your body as a garden full of yummy plants, and the food you eat is the magic potion that keeps everything blooming beautifully. Today, youre lucky! You get to enjoy a special treat called Catalan Roasted Sea Bass. Its so yummy and perfectly suited for your taste buds. The fish is like a big, happy party in a bowl, and the sea salt and spices are like sprinkles that make it extra special. So, take a bite and let all the flavors dance on your tongue. Youll be amazed at how delicious it is! Remember, your body is."
9,14.5,Normal,0,,Fish,,,Fish Chowder,"[INTERNAL REASONING LOGIC]

This child is 9 years old and has a BMI of 14.5, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They cannot cook, so the food must be simple enough for an adult to help prepare.

They are allergic to nothing, which did not affect the recommendation.

They have ingredients like Fish available at home.

Based on these factors, the machine learning model recommended: Fish Chowder.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Youre 9 years old, and youre doing amazing! Your body is healthy and happy, just like a garden full of yummy plants. You need food to keep you strong and healthy, like a gardener giving all the plants in the garden the nutrients they need to thrive. Since you cant cook, its like a special chef preparing a delicious meal for you! This meal is made with fish, which is a kind of fish thats super yummy and full of healthy vitamins. This Fish Chowder is like a magic potion for your taste buds. Its a warm hug that will make you feel happy inside. So, lets grab our spoons and dig in!."
7,25.8,Normal,1,"Egg, Mackerel",,,,Baked Snapper with Chipotle Butter,"[INTERNAL REASONING LOGIC]

This child is 7 years old and has a BMI of 25.8, categorized as Normal.
That means their body is in a healthy state, and this food helps maintain that balance.

They can cook, so the food must be simple enough for them to prepare on their own.

They are allergic to Egg, Mackerel, which was excluded from the recommendation.

They have ingredients like none available at home.

Based on these factors, the machine learning model recommended: Baked Snapper with Chipotle Butter.

---

👇 Please now write a friendly and magical explanation to the child,
encouraging them to enjoy this food and feel excited to try it.
Avoid technical language and speak like a supportive food buddy!","Hey there! Lets explore the delicious Baked Snapper with Chipotle Butter! This food is so yummy and perfect for your taste buds. Its like a party in your mouth, with all the flavors dancing together. Since youre 7 years old and your body is healthy, you can cook this food on your own. Its super easy, just like making a snack! Remember, youre a fantastic chef, and you can whip up this delicious meal in no time. So, grab the ingredients and get ready to create a culinary masterpiece! Lets explore the world of flavors together and enjoy the yummy Baked Snapper with Chipotle Butter!."
