age,gender,bmi_category,can_cook,meals_per_day,hunger_cycle_min,allergies,food_calories,food_protein,food_fat,food_carbs,food_difficulty,label,Ingredients1,Ingredients2,Ingredients3
8,male,Overweight,1,1,152,Shellfish,419.95,24.4,21.28,25.84,unknown,Fried Eel,,,
6,male,Overweight,0,2,171,"Soybean, Crab",331.68,35.94,15.38,10.86,unknown,Salmon Fillets With Horseradish-potato Crust,Potato,,
12,male,Obese,0,3,106,Crab,252.58,34.16,7.64,12.29,unknown,Sauted Bass with Shiitake Mushroom Sauce,,,
10,female,Underweight,0,3,161,"Tomato, Shrimp",629.17,40.61,34.83,40.19,unknown,Roasted Monkfish with Curried Lentils and Browned Butter Cauliflower,Fish,,
8,female,Underweight,1,2,35,,623.99,12.79,50.51,36.14,unknown,Caesar Salad With Toasty Garlic Croutons,Garlic,,
10,female,Underweight,0,1,172,"Peach, Sulfurous acid",628.31,41.59,24.62,37.48,unknown,McDevitt's Miso-Marinated Sea Bass,,,
11,male,Normal,1,3,107,,597.94,11.37,51.89,32.14,unknown,Broccoli & Burrata,,,
7,female,Underweight,1,1,60,,535.51,40.94,16.99,53.96,unknown,Yagihashi's Black Sea Bass with Somen and Vegetables,,,
10,male,Obese,0,3,65,Shellfish,373.46,36.46,6.6,13.94,unknown,Fish Fumet,Fish,,
7,female,Underweight,0,1,41,Beef,656.1,41.9,23.29,60.04,unknown,Tagliolino Allo Scoglio,,,
13,male,Normal,1,2,61,,593.36,45.96,40.55,10.42,unknown,Salmon With Honey Mustard Pan Sauce,,,
12,male,Normal,1,0,7,,476.99,10.36,23.29,57.81,unknown,Stuffed Pizza Pie with Escarole,,,
11,female,Underweight,1,1,80,"Peanut, Soybean, Beef",809.04,20.06,62.78,45.73,unknown,Summer Squash Gratin with Salsa Verde and Gruyere,,,
15,female,Normal,0,3,22,Peanut,537.02,47.12,11.05,59.78,unknown,Dinner Tonight: Cod with Tarragon-Anchovy Breadcrumbs,Anchovy,,
16,female,Normal,0,2,30,,509.38,57.5,12.67,37.55,unknown,Spicy Shrimp And Spaghetti Aglio Olio (garlic And Oil),Garlic,Shrimp,
7,female,Overweight,1,1,88,"Pine nut, Beef, Egg",406.84,11.72,16.13,53.57,unknown,Caesar Salad,,,
9,female,Underweight,0,0,52,,979.48,80.97,37.3,50.2,unknown,Grilled Fish With Pesto Sauce,Fish,,
12,male,Overweight,0,1,48,"Mackerel, Peanut",336.32,35.55,9.05,29.74,unknown,Fish Fillets In Parchment With Asparagus And Orange,Fish,,
12,male,Underweight,1,3,179,,649.47,38.58,33.55,49.7,unknown,Grilled Halibut with Smashed Fingerlings and Tomato Butter,Tomato,,
15,female,Normal,0,0,158,"Mackerel, Tomato",424.34,67.62,13.54,6.77,unknown,Basil-Steamed Halibut with Lemon CrÃÂ¨me Sauce,Lemon,,
6,female,Underweight,0,0,24,,886.87,82.83,46.24,36.33,unknown,Whole Grilled Fiesta Fish,Fish,,
9,female,Underweight,0,2,44,Shrimp,611.24,15.67,49.2,36.99,unknown,"Roasted Brussels Sprouts With Capers, Walnuts And Anchovies",Walnut,,
14,female,Underweight,0,2,160,,692.63,23.9,46.25,54.8,unknown,Kale Caesar,,,
10,male,Obese,1,3,63,"Milk, Pine nut, Peach",111.36,22.08,1.65,1.0,unknown,Herbed Striped Bass,,,
13,female,Obese,1,0,100,"Beef, Pine nut",213.57,22.37,8.43,3.26,unknown,Sole with Tarragon-Butter Sauce,,,
11,female,Normal,1,1,137,,491.29,6.89,35.62,40.49,unknown,Oriental Style Peppers,,,
6,male,Underweight,0,1,33,Beef,505.6,55.38,11.62,43.4,unknown,Labneh With Chilli And Anchovy,Anchovy,,
16,female,Normal,1,3,109,,581.03,29.36,43.77,17.94,unknown,Pecan-crusted Trout with Peach-Habanero Chile Sauce,Peach,,
12,female,Normal,0,1,114,"Egg, Peach, Peanut",492.9,35.81,26.79,28.59,unknown,Striped Bass With Salsa Verde And Mediterranean Roasted Vegetables,,,
8,female,Obese,0,3,89,Tomato,302.72,35.0,7.6,22.12,unknown,Baked Seabass with Homemade Garlic Butter and Herb Bread Crumb Topping,Garlic,,
8,female,Overweight,1,1,174,Pork,325.71,11.19,19.71,27.14,unknown,Pecan-crusted Halibut with Dijon Cream Sauce,,,
13,female,Underweight,0,2,90,,734.19,76.15,30.97,64.05,unknown,Pan Sauteed Tilapia With Lemon And Jalapeno,Lemon,,
11,female,Normal,0,3,7,"Shrimp, Shellfish, Beef",585.87,27.52,43.87,22.1,unknown,Classic Sole MeuniÃÂ¨re,,,
10,male,Normal,0,0,97,"Soybean, Wheat, Pine nut",415.3,38.13,24.83,5.33,unknown,Poached Sole With Blood Orange Beurre Blanc,,,
6,female,Underweight,1,2,56,,670.6,73.25,22.41,36.46,unknown,"Porgy, Roman Style: Pagro alla Romana",,,
16,female,Normal,0,1,31,"Walnut, Egg, Milk",528.1,35.93,24.78,42.42,unknown,Leek And Smoked Haddock Chowder,,,
6,female,Overweight,0,3,107,Shrimp,446.02,38.46,26.3,9.47,unknown,Roasted Salmon with Oyster Mushrooms in Red Wine,,,
11,male,Normal,0,1,128,"Squid, Shellfish, Sulfurous acid",548.68,34.38,31.93,7.32,unknown,Salmon with Red Wine-Balsamic Sauce,,,
16,male,Normal,0,1,32,"Peach, Peanut",556.71,18.93,24.36,67.1,unknown,"Orecchiette with Cauliflower, Anchovies and Pistachios",,,
8,female,Underweight,0,2,76,"Shellfish, Shrimp, Squid",783.11,77.13,23.46,67.35,unknown,"Cod, Potato & Spring Onion Stew Recipe",Potato,,
12,male,Normal,0,1,180,"Peach, Mackerel",589.03,40.09,27.67,50.21,unknown,Roasted Black Bass with Apple Cider-Kale Sauce,Apple,,
8,female,Underweight,0,3,68,"Shrimp, Soybean, Buckwheat",524.66,38.58,18.9,48.89,unknown,Corny Mango Salmon,,,
15,female,Normal,0,2,19,,429.9,16.83,37.1,12.77,unknown,Tuscan Kale Salad,,,
16,female,Normal,0,1,52,"Egg, Buckwheat",468.0,47.21,27.75,8.45,unknown,Marinated Fish with Salmoriglio Sauce,Fish,,
