age,gender,bmi_category,can_cook,meals_per_day,hunger_cycle_min,allergies,food_calories,food_protein,food_fat,food_carbs,food_difficulty,label,Ingredients1,Ingredients2,Ingredients3
8,1,2,1,1,152,Shellfish,419.95,24.4,21.28,25.84,0,Fried Eel,None,None,None
6,1,2,0,2,171,"Soybean, Crab",331.68,35.94,15.38,10.86,0,Salmon Fillets With Horseradish-potato Crust,Potato,None,None
12,1,1,0,3,106,Crab,252.58,34.16,7.64,12.29,0,Sauted Bass with Shiitake Mushroom Sauce,None,None,None
10,0,3,0,3,161,"Tomato, Shrimp",629.17,40.61,34.83,40.19,0,Roasted Monkfish with Curried Lentils and Browned Butter Cauliflower,Fish,None,None
8,0,3,1,2,35,,623.99,12.79,50.51,36.14,0,Caesar Salad With Toasty Garlic Croutons,Garlic,None,None
10,0,3,0,1,172,"Peach, Sulfurous acid",628.31,41.59,24.62,37.48,0,McDevitt's Miso-Marinated Sea Bass,None,None,None
11,1,0,1,3,107,,597.94,11.37,51.89,32.14,0,Broccoli & Burrata,None,None,None
7,0,3,1,1,60,,535.51,40.94,16.99,53.96,0,Yagihashi's Black Sea Bass with Somen and Vegetables,None,None,None
10,1,1,0,3,65,Shellfish,373.46,36.46,6.6,13.94,0,Fish Fumet,Fish,None,None
7,0,3,0,1,41,Beef,656.1,41.9,23.29,60.04,0,Tagliolino Allo Scoglio,None,None,None
13,1,0,1,2,61,,593.36,45.96,40.55,10.42,0,Salmon With Honey Mustard Pan Sauce,None,None,None
12,1,0,1,0,7,,476.99,10.36,23.29,57.81,0,Stuffed Pizza Pie with Escarole,None,None,None
11,0,3,1,1,80,"Peanut, Soybean, Beef",809.04,20.06,62.78,45.73,0,Summer Squash Gratin with Salsa Verde and Gruyere,None,None,None
15,0,0,0,3,22,Peanut,537.02,47.12,11.05,59.78,0,Dinner Tonight: Cod with Tarragon-Anchovy Breadcrumbs,Anchovy,None,None
16,0,0,0,2,30,,509.38,57.5,12.67,37.55,0,Spicy Shrimp And Spaghetti Aglio Olio (garlic And Oil),Garlic,Shrimp,None
7,0,2,1,1,88,"Pine nut, Beef, Egg",406.84,11.72,16.13,53.57,0,Caesar Salad,None,None,None
9,0,3,0,0,52,,979.48,80.97,37.3,50.2,0,Grilled Fish With Pesto Sauce,Fish,None,None
12,1,2,0,1,48,"Mackerel, Peanut",336.32,35.55,9.05,29.74,0,Fish Fillets In Parchment With Asparagus And Orange,Fish,None,None
12,1,3,1,3,179,,649.47,38.58,33.55,49.7,0,Grilled Halibut with Smashed Fingerlings and Tomato Butter,Tomato,None,None
