번호,지역,시군구,지원센터단위,지원센터구분,지원센터명,센터전화번호,주소,상세주소,기타유의사항
1,중앙,서울특별시 마포구,전국,푸드뱅크,전국푸드뱅크,02-2077-3985,서울특별시 마포구 만리재로 14,한국사회복지회관 1201호,
2,강원,강원도 강릉시,광역,푸드뱅크,강원도광역푸드뱅크,033-646-0197,강원도 강릉시 구정면 구정중앙로 158-10,,
5,경기,경기도 화성시,광역,푸드뱅크,경기도광역푸드뱅크,031-294-1377,경기도 화성시 정남면 괘랑1길 42-30,A동,
6,경남,경상남도 창원시 마산회원구,광역,푸드뱅크,경남광역푸드뱅크,070-4266-1202,경상남도 김해시 칠산로 128,(신문동) 경상남도광역기부식품등지원센터,
7,경북,경상북도 안동시,광역,푸드뱅크,경북광역푸드뱅크,054-843-8550,경상북도 안동시 광명로 159,3층 302호 (옥동),
8,광주,광주광역시 서구,광역,푸드뱅크,광주광역시푸드뱅크,062-351-2114,광주광역시 북구 천변우로 40(임동),광주사회복지회관,
9,대구,대구광역시 남구,광역,푸드뱅크,대구시광역푸드뱅크,053-474-1377,대구 남구 봉덕동,1019,
10,대전,대전광역시 중구,광역,푸드뱅크,대전광역푸드뱅크,042-525-1378,대전광역시 중구 보문로 246,대림빌딩 805호(대흥동),
11,부산,부산광역시 동래구,광역,푸드뱅크,부산시광역푸드뱅크,051-791-1377,부산광역시 동래구 낙민로 25, (낙민동)부산사회복지종합센터 302호,
12,서울,서울특별시 성동구,광역,푸드뱅크,서울시광역푸드뱅크,02-905-1377,서울특별시 성동구 자동차시장3길 64, (용답동 중랑물재생센터),
13,세종,세종특별자치시,광역,푸드뱅크,세종광역푸드뱅크,044-868-1311,세종특별자치시 조치원읍 터미널안길 60,6-2호,
15,울산,울산광역시 중구,광역,푸드뱅크,울산광역푸드뱅크,052-285-1378,울산광역시 중구 염포로 85,(남외동 동천체육관),
16,인천,인천광역시 서구,광역,푸드뱅크,인천광역시기부식품등지원센터,032-891-1377,인천광역시 서구 봉수대로 806, (연희동),
